participant_id,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,TOTAL_x,pre_total,P1,P2,P3i,P3ii,P4,P5,TOTAL_y,post_total,gain,normalized_gain,_pre_rank,pre_quartile
P073,1,1,1,1,1,0,0,1,1,1,8,8,1.0,2.0,1,1.0,2.0,3.0,10.0,10.0,2.0,1.0,146.0,Q4
P074,0,1,1,0,1,0,0,0,0,1,4,4,0.0,1.0,0,0.0,1.5,2.0,4.5,4.5,0.5,0.08333333333333333,55.0,Q2
P075,1,0,1,0,1,0,0,0,0,1,4,4,1.0,2.0,1,0.5,1.5,2.5,8.5,8.5,4.5,0.75,56.0,Q2
P076,1,0,0,1,0,0,0,0,1,0,3,3,1.0,2.0,1,1.0,1.5,1.0,7.5,7.5,4.5,0.6428571428571429,24.0,Q1
P077,1,0,1,1,1,1,1,0,1,0,7,7,0.5,0.0,0,0.0,1.5,1.5,3.5,3.5,-3.5,-1.1666666666666667,133.0,Q4
P078,0,1,0,1,0,0,0,0,0,0,2,2,1.0,0.0,1,1.0,1.5,2.5,7.0,7.0,5.0,0.625,7.0,Q1
P079,0,0,1,0,0,1,0,0,0,1,3,3,0.5,2.0,1,1.0,1.5,2.0,8.0,8.0,5.0,0.7142857142857143,25.0,Q1
P080,1,0,0,0,0,0,0,1,1,1,4,4,1.0,2.0,1,0.5,2.0,1.5,8.0,8.0,4.0,0.6666666666666666,57.0,Q2
P081,1,1,1,0,1,1,0,0,0,1,6,6,1.0,0.0,0,0.0,2.0,0.5,3.5,3.5,-2.5,-0.625,114.0,Q4
P082,0,0,0,0,1,0,0,1,1,1,4,4,1.0,2.0,1,1.0,1.5,2.0,8.5,8.5,4.5,0.75,58.0,Q2
P083,0,0,1,0,1,0,1,0,0,1,4,4,1.0,2.0,1,1.0,2.0,3.0,10.0,10.0,6.0,1.0,59.0,Q2
P084,1,1,0,0,1,1,1,1,1,1,8,8,1.0,2.0,1,1.0,1.0,1.5,7.5,7.5,-0.5,-0.25,147.0,Q4
P085,1,0,0,0,0,1,1,0,1,1,5,5,1.0,2.0,1,1.0,2.0,3.0,10.0,10.0,5.0,1.0,85.0,Q3
P086,1,0,1,0,1,0,0,1,1,1,6,6,1.0,2.0,0,0.0,2.0,2.0,7.0,7.0,1.0,0.25,115.0,Q4
P087,0,0,0,1,1,0,0,1,1,1,5,5,0.5,2.0,0,0.0,1.5,3.0,7.0,7.0,2.0,0.4,86.0,Q3
P088,0,0,0,0,0,0,0,0,1,1,2,2,0.5,0.0,1,1.0,2.0,0.0,4.5,4.5,2.5,0.3125,8.0,Q1
P089,1,0,0,1,0,0,0,0,1,0,3,3,0.5,2.0,0,0.0,1.5,3.0,7.0,7.0,4.0,0.5714285714285714,26.0,Q1
P090,1,0,0,1,1,0,0,1,1,0,5,5,1.0,2.0,1,1.0,1.5,2.5,9.0,9.0,4.0,0.8,87.0,Q3
P091,0,1,0,1,0,0,1,0,0,0,3,3,0.5,0.0,0,0.0,1.5,1.5,3.5,3.5,0.5,0.07142857142857142,27.0,Q1
P092,1,0,0,0,1,1,1,1,1,0,6,6,1.0,2.0,1,1.0,2.0,3.0,10.0,10.0,4.0,1.0,116.0,Q4
P093,0,1,1,1,1,0,0,0,0,1,5,5,0.5,2.0,0,0.0,1.5,3.0,7.0,7.0,2.0,0.4,88.0,Q3
P094,0,0,0,1,1,0,0,0,1,0,3,3,1.0,2.0,0,0.0,1.5,2.0,6.5,6.5,3.5,0.5,28.0,Q1
P095,1,0,0,0,0,0,0,0,0,1,2,2,1.0,0.0,1,1.0,2.0,1.5,6.5,6.5,4.5,0.5625,9.0,Q1
P096,0,0,0,0,1,0,0,0,1,1,3,3,1.0,2.0,1,0.0,2.0,2.5,8.5,8.5,5.5,0.7857142857142857,29.0,Q1
P097,0,0,0,1,0,1,0,1,1,1,5,5,1.0,0.0,1,0.0,2.0,0.5,4.5,4.5,-0.5,-0.1,89.0,Q3
P098,1,1,1,0,1,0,0,1,1,1,7,7,1.0,2.0,1,1.0,2.0,1.5,8.5,8.5,1.5,0.5,134.0,Q4
P099,1,1,0,1,0,1,0,1,1,1,7,7,1.0,2.0,1,1.0,2.0,3.0,10.0,10.0,3.0,1.0,135.0,Q4
P100,1,0,1,1,0,0,0,0,1,1,5,5,1.0,0.0,0,0.0,1.5,1.0,3.5,3.5,-1.5,-0.3,90.0,Q3
P101,1,1,1,1,0,1,1,0,1,1,8,8,1.0,2.0,1,0.0,2.0,2.5,8.5,8.5,0.5,0.25,148.0,Q4
P102,1,0,1,0,0,0,1,0,0,1,4,4,1.0,2.0,1,1.0,2.0,1.0,8.0,8.0,4.0,0.6666666666666666,60.0,Q2
P103,1,1,1,0,1,0,0,1,1,1,7,7,1.0,2.0,1,1.0,2.0,1.0,8.0,8.0,1.0,0.3333333333333333,136.0,Q4
P104,0,0,1,0,0,1,1,1,0,1,5,5,1.0,2.0,1,1.0,1.5,3.0,9.5,9.5,4.5,0.9,91.0,Q3
P105,0,0,1,1,0,0,0,1,1,1,5,5,1.0,0.0,0,0.0,2.0,2.5,5.5,5.5,0.5,0.1,92.0,Q3
P106,1,0,0,0,0,0,0,1,1,1,4,4,1.0,0.0,0,0.0,2.0,2.5,5.5,5.5,1.5,0.25,61.0,Q2
