,normalized_gain,normalized_gain,normalized_gain,gain,gain
,mean,std,count,mean,std
pre_quartile,,,,,
Q1,0.564,0.287,38,4.039,2.035
Q2,0.579,0.32,37,3.405,1.874
Q3,0.484,0.349,37,2.284,1.685
Q4,0.255,0.615,38,0.947,1.739
