statistic,value
pre_test_mean,4.773333333333333
pre_test_std,1.6101467967036804
post_test_mean,7.44
post_test_std,1.8608650654860253
mean_gain,2.6666666666666665
t_statistic,15.032350580699035
p_value,1.1540248007020383e-31
cohens_d,1.2273862852447681
hedges_g,1.221197782966223
improved_pct,88.0
same_pct,2.666666666666667
declined_pct,9.333333333333334
normalized_gain_mean,0.4698174603174603
correlation_pre_gain,-0.5502884697451288
