concept,pre_cols,post_cols,pre_mean,post_mean,mean_gain,t_statistic,p_value,cohens_d,pre_correct_count,pre_correct_pct,post_correct_count,post_correct_pct,retained_count,retained_pct,corrected_count,corrected_pct,regressed_count,regressed_pct
Seasons & tilt,Q1,P3i,0.49333333333333335,0.7466666666666667,0.25333333333333335,4.580234616476068,9.73801523070393e-06,0.5388496769591445,74.0,49.333333333333336,112.0,74.66666666666667,54.0,72.97297297297297,58.0,76.31578947368422,20.0,27.027027027027028
Working of astronomers,Q4,P3ii,0.4866666666666667,0.6666666666666666,0.17999999999999994,3.1682774029818837,0.0018608714978937764,0.37190514531533925,73.0,48.66666666666667,100.0,66.66666666666666,47.0,64.38356164383562,51.0,66.23376623376623,25.0,34.24657534246575
Asteroids,Q7,P1,0.28,0.8866666666666667,0.6066666666666667,13.864392307122642,1.3434195012861409e-28,1.6099769032212996,42.0,28.000000000000004,133.0,88.66666666666667,35.0,83.33333333333334,92.0,85.18518518518519,3.0,7.142857142857142
Planets block,Q5+Q6+Q8+Q9+Q10,P2,2.6666666666666665,1.34,-1.3266666666666664,-12.081658839278962,7.392695649634562e-24,-1.2893619688670706,,,,,,,,,,
Phases of Moon,Q2,P5,0.46,2.0533333333333332,1.5933333333333333,22.389014674401874,1.5749770007615552e-49,2.49190631477657,69.0,46.0,308.0,205.33333333333331,2.0,2.898550724637681,7.0,8.641975308641975,0.0,0.0
Luminosity / stars vs planets,Q3,P4,0.38666666666666666,1.7466666666666666,1.3599999999999999,27.652834308313114,1.4995422937490143e-60,3.2418140104033637,58.0,38.666666666666664,262.0,174.66666666666666,3.0,5.172413793103448,9.0,9.782608695652174,0.0,0.0
